Namn,Org NR
Ltc Services AB,559082-9866
Mejsla AB,556718-7280
Metamatrix AB,556574-1351
Metodika AB,556427-6300
Missionpoint AB,559025-1764
Moralis Web3 Technology AB,559307-5988
MÃ¤klarsamfundet System i Sverige AB,556586-7941
Nemely AB,559069-6877
Netler Consulting AB,559208-7885
Ohlandergruppen AB,556938-3754
Open Payments Europe AB,556973-2737
Pyyne Digital Sweden AB,559351-4366
PÃ¥mind AB,559027-8478
Qvik AB,559192-0466
Run Communications AB,556646-0688
ST Airborne Systems AB,556584-5228
Signifikant Svenska AB,556657-7242
Sphinxly AB,556682-6482
Starbit AB,559171-2772
Stretch Procurement AB,559152-5398
System Integration Air Traffic Management AB,556212-8206
Tickstar AB,556721-2047
Universitetsservice Us Aktiebolag,556576-3611
Verano Ahead AB,556982-7016
Visigon Sweden AB,559185-9995
Visimind AB,556590-1559
Visionera Aktiebolag,556609-6672
Vklass Aktiebolag,556992-5992
54U It Consulting AB,556716-0063
Addhealth Media AB,556574-7770
Admincontrol Sweden AB,556924-3750
Adns House Of Service AB,559164-1534
Adtoox AB,556727-3569
Alcesys AB,556336-9825
Aptly Consulting Aktiebolag,556727-2504
Asedo Sverige AB,556933-7321
Avima AB,556523-5917
Bidbrain AB,556820-7426
Black Lizzy Group AB,559194-3344
Chessit AB,556705-4233
Cinqore AB,556985-9993
Collective Minds Radiology AB,559120-7187
Compileit Sweden AB,559058-9650
Crio Partner AB,559044-5333
Cubane Solutions AB,556970-3597
Datajob Sweden AB,556998-9501
Dedalus Sweden AB,559262-9629
Deploja AB,556932-8155
F Consulting i Sverige AB,556755-6617
Gateway Digital Sweden AB,556737-5505
Hansen Technologies Sweden AB,556830-3795
Hrz Nordic AB,559214-6384
Ihc Networks AB,556574-4249
Integrera Information Norden AB,556712-1321
Intito Sverige AB,556971-0980
Load System AB,556859-8592
Mad Milk Sushi AB,559358-3023
Metaforce AB,556638-0167
Mevisio AB,559099-2367
Monitum AB,559408-4385
Nagarro Software AB,556761-2923
Norla AB,556869-7550
Northern Parklife Aktiebolag,556522-8540
Osolo Consultant Group AB,556784-1365
Polygon Digital Solutions AB,559021-1271
Predictly AB,556985-6411
Qestit Systems AB,556796-9943
Redpill Linpro Cx AB,559146-2055
Rule Communication - Nordic AB,556740-1293
Setpace AB,559036-5457
Sightline Vision AB,556593-2315
Snowborn Games AB,559112-7807
Sourcecom Svenska Aktiebolag,556466-0990
Spktr Design AB,556763-0560
Stratipath AB,559214-6004
Strikersoft AB,556661-1637
Sudo Sweden AB,559270-9686
Tagetik Nordic AB,556922-5104
Testfreaks AB,556733-2522
Tidomat AB,556586-2207
Tribia AB,556657-7176
Vincit Sweden AB,559179-3244
Vyer Technologies AB,559089-5891
WE Are Yours Sthlm AB,556787-2717
WE Know It Sweden AB,556789-1709
West Art Communication AB,556665-9107
Xceed Technology AB,559248-8042
Zington Digital Design AB,559087-0761
Zisson AB,556522-7765
Zoundio AB,559237-6429
Addsystems International AB,556584-8115
Adoveo AB,556993-4713
Adtran Networks AB,556647-1685
Airfill Prepaid AB,559001-6035
Aliassmith AB,556667-2654
Amanat Enterprise AB,559214-0346
Aqc Hit AB,559295-2831
Articap AB,556641-4933
Astrid Education AB,559243-1364
Beyond Frames Entertainment Ab (Publ),559058-8322
Bonnier Capital AB,556707-0007
Camelonta AB,556669-3858
Caverion Internal Services AB,556975-9557
Clira AB,559293-4656
Complior AB,556608-2268
Consign Sverige Aktiebolag,556613-1370
Coody Io AB,559354-9313
Cpa Global (Ipendo Systems) AB,556713-2054
Cristie Electronics Nordic AB,556482-3333
Curoflow Technology AB,559123-3654
Dagens Ps Media AB,559170-6345
Darktrace Sweden AB,559397-1889
Datanet Konsult Stockholm Aktiebolag,556505-3328
Datareal AB,556448-6081
Datema Mobility AB,559289-0874
Dotkeeper AB,556942-2164
Dynamicsource AB,556775-5581
Elovade Sverige AB,556853-4050
Evroc AB,559398-0930
Exicom Software AB,556728-3584
Further AB,556667-6036
Giraff Data Konsult AB,556656-1618
GradÃ©n Mattsson Finans AB,559079-2049
Health Integrator AB,559119-1498
Houdini Group AB,556577-2000
House Of Education AB,556763-8951
Intalma - International Talent Management AB,559004-4680
International Consumer Services Sweden AB,556680-3572
Interop AB,556579-0986
Ipercept Technology AB,559208-4882
Itea P2b AB,559413-9155
Itsnillet AB,556672-0982
Kemtrak AB,556715-6079
Marlo Sting AB,556900-5803
Matchmeeting AB,556598-6634
Mindstreet Group AB,559262-1386
Mwm Insight AB,556368-0650
Nitor Sweden AB,559129-0035
Nordic Level Advisory AB,556943-9309
Nordic Transport & It Services AB,559179-7047
Panoptes Sweden AB,559199-4503
Phygrid Ab (Publ),556841-1333
Porobic Group AB,559116-2689
Prog-It AB,559058-6243
Qlosr Group Ab (Publ),556870-4653
Reactional Music Group AB,559052-8369
Rebtech AB,559298-0485
SP Ce Technologies AB,559258-5417
Safespring AB,559075-0245
Skovik AB,556774-5863
Slotmill AB,559195-2071
Sns Sweden AB,559385-3467
Stockholm Code Group AB,556732-0360
Svensk Driftpartner AB,559008-6699
Syson AB,556934-1851
TO Labs AB,559188-6733
TT2 Aktiebolag,556888-7615
Tarento AB,556762-8101
Taylerd AB,559173-0337
Tengai AB,559196-2377
Venor AB,559116-3695
Vergenta Operations AB,559251-5398
Vpd Financial Software Consulting AB,556289-1365
Weblab Group AB,559208-5855
Zignsec Ab (Publ),559016-5261
14 Islands AB,556873-2787
40 Minuter AB,556684-9583
Accenture Services AB,556259-9703
Acrelec Sweden AB,556979-9736
Amuze Interactive AB,556690-2275
Atlar AB,559376-9044
Avega Complius AB,559112-6429
Baffin Bay Networks AB,559035-6183
Beyond Tech AB,559325-3023
Binero AB,556575-2028
Bldr Digital AB,559364-1177
Buzzcloud AB,559155-2319
Chronos Care AB,559244-5422
Cleura Stockholm AB,556612-6255
Coherence Sweden AB,559201-0937
Confluent Sweden AB,559228-2395
Cypoint Inspire AB,559207-5849
D-Source AB,559299-4676
Demando Recruitment AB,559029-6686
Devbrains AB,559085-5473
Dorite AB,556971-1731
Dynamist AB,556984-7733
Enplore AB,556972-9261
Epicor Software Sweden AB,556081-6208
Essential Marketing Methods Nordic AB,556975-2768
Evolate AB,559150-6125
FÃ¶reningshuset Sedab Aktiebolag,556469-9303
G-W Studios AB,559190-3249
Graz Sweden AB,556600-4346
Helphero AB,556676-5425
Hexaware Technologies Nordic AB,559124-4065
Hygglo AB,559027-6662
Igomoon AB,556899-5681
Insightsoftware Sweden AB,556649-3267
Jeti Services AB,556927-5661
K A:Son Consulting AB,559173-8462
Konsultnet AB,559110-6710
Lolo Company AB,559218-3148
Med Universe AB,556771-1048
Mindmore AB,559120-7401
More Digital Studios Sweden AB,556634-0047
Multiply Teknik & It AB,556919-3500
Mymcs AB,556930-8280
Noll7noll Sverige AB,559035-4360
Nordiska VirkesbÃ¶rsen AB,559081-6756
Nordomatic Property Technologies AB,559167-7553
Ntt Data Business Solutions AB,556901-7782
Openpoint AB,559291-0094
Prospekta AB,556795-4788
Qrios Technology AB,559396-5733
Quantum Tunnelling Software Sweden AB,559071-3979
Rabble Communications AB,556807-2424
Rebnis Hotel Systems AB,556666-7811
Recommit AB,556808-3991
Saab Emerging Technologies Norrmalm Aktiebolag,559334-2180
Sellboss AB,556778-4573
Sitecore Sverige AB,556760-1132
Smartbear Sweden AB,556846-5024
Startdeliver AB,559150-8840
Sthlm Tech AB,559010-1167
Storesprint AB,559123-6657
Storsafe Sweden AB,556666-1046
Struktia AB,559127-9210
Suitecorner Solutions AB,559269-6263
Surfboard Payments AB,559214-0437
Suse Software Solutions Sweden AB,556418-7564
Svenska Telekompaniet Support AB,556567-8918
Sylog Jasper AB,559192-6760
Technigo AB,559051-8030
Tellustalk AB,556429-8213
Time People Group Ab (Publ),556586-1936
Tiptapp AB,559027-0376
Trust Anchor Group AB,559058-2002
United Eyes AB,556984-9481
Utvecklarbolaget Solutions Stockholm AB,559236-9150
Vendavo AB,556151-1600
Waroncancer AB,559119-1555
Xlent Integration & Services AB,559012-8798
Youwe Sweden AB,559013-8052
Zebware AB,556917-3940
Zington Architecture & Development AB,556542-5799
Ahum AB,559009-0410
Aktiebolaget Lyfta Skrot,556801-9185
Another Tomorrow AB,559023-7029
Aponsa Aktiebolag,556627-2513
Aranya Platform Services AB,559322-4214
Arena Workforce AB,556717-5970
Asolvi Sweden AB,556248-5630
Assistans Med Kvalitet i Sverige AB,556979-5528
Astrato Sweden AB,559156-4835
Atex Media Command AB,556339-8378
Athega AB,556547-6693
Automile AB,556775-5698
Avtech Sweden Ab (Publ),556568-3108
Azerion Sverige AB,556930-0543
Blue Lobster AB,556955-0394
Bogleboo AB,556685-2538
Bosbec AB,556663-2237
Cartina Tech AB,559236-0050
Causality Agency AB,556876-1257
Cellplan AB,556767-9146
Centurylink Communications Sweden AB,556624-1195
Chargepanel Ab (Publ),556963-3182
Claiton Ab (Publ),556696-7013
Cnv Dev AB,559225-0335
Compodium International Ab (Publ),556614-5826
Crossnet Aktiebolag,556504-4400
Crowdstrike Sweden AB,559196-5024
Cubeia Sweden AB,559009-6292
Data Respons Solutions AB,556583-8165
Dental It i Sverige AB,556759-2232
Deville It KonsultbyrÃ¥ AB,556987-5106
Differ Agency AB,559146-5926
Digip AB,559204-1551
Diploma Group Sverige AB,556900-2842
Dryft Technologies AB,559218-3551
Dsolution Ã–stergÃ¶tland AB,556551-2398
E37 System AB,556733-2837
Ericsson Sweden Dhaulagiri AB,559428-2765
Glitnor Sweden AB,559424-3767
Global Happiness Sweden AB,556579-7320
Globhe Drones AB,556994-0801
HH Global Nordics AB,556670-4739
Heads Svenska AB,556639-3871
Hpi Health Profile Institute AB,556714-5858
Hyperlab AB,556942-7957
Indpro AB,556681-2581
Infodata It Stockholm AB,556358-5958
Internet Vikings International AB,556545-8907
It Agenturen Sweden AB,559213-9199
Itancan Resourcing West AB,559400-1728
Kayenta Consulting AB,556893-8947
Kindly Sweden AB,559186-9291
Konsult 2000 AB,556645-0994
Kvadrat Stockholm AB,556319-6301
Leadfeeder AB,559217-1671
Limina AB,556982-5713
Liminity AB,559091-7851
Lolita StÃ¤d AB,559145-7485
Luminar Sweden AB,559359-8849
Madington AB,556794-5737
Manomotion AB,559017-1830
Maskot BildbyrÃ¥ AB,556642-3041
Metasolutions AB,556854-0701
Montel Sweden AB,556312-9138
Mrorange Travel Technology AB,556545-3668
Njuice AB,556801-9201
Nordforce Technology Aktiebolag,556452-3248
Nudge Labs AB,559308-7652
Nvila Group AB,559250-2016
Odyssey AB,559047-3160
Ombea AB,556844-9937
Peltarion AB,556627-0129
Playpilot AB,556946-8530
Pure Test AB,559168-0623
Qlocx AB,556881-4833
Red Globe AB,556934-6827
Sealfx AB,556969-9399
Sgj Electronic AB,556543-3082
Simway AB,556706-1915
Solute Technologies Aktiebolag,556565-9140
Sqarp Retail Information AB,559258-7991
Stemmer Imaging AB,556233-4176
StÃ¶k Media AB,556904-4869
Tanium Sweden AB,559125-8453
Tendfor AB,556770-1924
The Swedish Webshark AB,559160-6701
Third Act Tech AB,559071-2427
Trilogik Konsult AB,556522-8649
Univentor Aktiebolag,556343-0502
Vaerna Ot It AB,559058-6649
Wacab AB,559093-6505
Wedonthavetime Ab (Publ),559126-1994
Will & Skill AB,556893-5273
Xlent LuleÃ¥ AB,559195-8037
Zero8 AB,559283-2173
Zuora Sweden AB,559105-5776
1X Innovations AB,556810-7535
7minds AB,556803-8417
AB Leverache,559150-7115
Accolm AB,556741-3991
Accountor Finago AB,556942-4467
Adaptive Media AB,556848-2540
Addcit AB,556972-5426
Adverty Ab (Publ),559100-5250
Adwisit Stockholm AB,559017-9403
Antler Interactive AB,559062-0687
Appian Sweden AB,559152-8632
Arizon AB,559001-0020
Aryan Consulting AB,556976-9374
Astrid Dagny Alva Beat AB,559154-1064
Azets Software AB,559273-6937
BC Digital AB,559059-7240
Bitio Development AB,556901-9234
Bokabord Nordic AB,556777-6918
Brabyggare Sverige AB,556700-6670
Bravero AB,556960-5024
Brokerway AB,556705-4183
Bygg & Markservice i Sverige AB,556907-5244
Chaintraced AB,559208-1607
Citerus AB,556561-2040
Co. Society AB,559325-9012
Codemine Media AB,559143-3791
Consecuty AB,559324-3669
Copr AB,559010-9624
Ctrl Digital AB,559156-9610
Cypoint Infinity AB,559190-9543
Datastory Tech AB,556954-2870
Dbi Provider AB,556933-1662
Diabol AB,556684-1564
Done Sweden AB,559201-0390
Dtr1tech AB,559306-8686
Emblasoft Test & Measurement AB,556622-6659
Engboms Network Solution AB,556133-0670
Envo Sustainit AB,559256-1996
Eutopia Studios AB,559047-3210
Expleo Stockholm AB,559016-9149
Fidesmo AB,556926-0978
Finbits AB,559375-3923
Forefront Act AB,559417-9607
Freecode AB,559199-7332
Gemit Solutions AB,556574-8646
Glow Technology AB,559275-0326
Grand Compliance Global AB,559153-8946
Greeneggs AB,556922-2481
Idkollen i Sverige AB,559000-0948
Improvin AB,559381-1879
Infostat AB,559267-0326
Inkopio AB,556974-2108
Internalcars Europe AB,556779-3178
It-Stil AB,556763-4331
JohnÃ©r BildbyrÃ¥ AB,556579-6082
Keywordio 1 AB,559136-3956
Larmass Upplands-Bro AB,556782-1193
Lightweb AB,556897-3191
Lybe Sweden AB,556863-7689
Magello East AB,559372-7620
Medicheck AB,559049-7219
Nfdata AB,559390-5986
Nga Human Resources Sweden AB,556627-1770
Pacing Apps AB,559100-1861
Pcnet Norden AB,556805-3606
Pixel Space AB,556941-4377
Planta AB,559079-6891
Presskontakterna Scandinavia AB,556691-2902
Pricerunner Sweden AB,556586-1415
Prozena Consulting AB,556801-1331
RO & Bo Scandinavia AB,556991-5605
Raceid AB,559058-5989
Recommended By AB,559089-4043
Refine Group Ab (Publ),559026-0963
SO Ja Film AB,556818-1472
ScytÃ¡les AB,556999-7769
Senior Life AB,556837-7625
Sequitor Engineering AB,559190-3652
Shardsecure AB,559231-7365
Simple Sign International AB,556947-8273
Smartson Consumer Services AB,556580-0157
Smsgrupp i Stockholm AB,556806-1393
Stock Republic AB,559175-4998
Stretch Amplify AB,559416-2868
StrÃ¶m2 - Consultant Group AB,556641-8512
Sventertainment AB,559155-8464
This Is Deploy AB,559118-9567
Timewave AB,556916-0665
Tmresponsibility Nordic AB,559351-2436
Touchless Consulting Group AB,556969-4226
Trnpk Sweden AB,559069-4369
Truid AB,559299-7216
Tsc The Service Corporation AB,556855-5105
Urb-It Ab (Publ),556959-9755
Veratech AB,556508-3028
Verismo Systems AB,556574-4207
Vionlabs AB,556804-5420
Vizzit International AB,556691-3116
Xlent VÃ¤st AB,559091-0104
Yacc AB,559227-0762
Advantops AB,559032-3761
Aktiebolaget Svensk AffÃ¤rsinformation,556090-9391
Albacross Nordic AB,556942-7338
Atom8 AB,559163-9934
B3 Cloud Services AB,559125-6440
Bellpal AB,559079-6958
Bemalong AB,559260-6718
Biila Solutions AB,559199-6425
Block Zero AB,559023-9645
Breed Ventures AB,559218-9103
Brightland AB,559291-5861
BrÃ¶dernas Kungsholmen AB,559077-1407
Camjo AB,559351-8284
Cargoit i Skandinavien AB,556579-3352
Cartina Ux AB,559397-0808
Caterbee AB,559144-7965
Caziti Stockholm AB,559150-6265
Cliqer AB,559187-7120
Commvault Systems AB,556732-3711
Corechange Tech Sto AB,559393-8433
Corechange Tech Syd AB,559421-7829
Cuelebre AB,559206-3191
Cypoint Incode AB,556928-8821
D-Link Aktiebolag,556408-9265
Dagg Ai AB,556972-2134
Data-Driven Video Nordics AB,559320-0859
Datema Retail Solutions Aktiebolag,556849-0543
Develit AB,559114-3796
Effekt Spu Aktiebolag,556546-0853
Envise Tech AB,559147-3151
Estate Logs AB,556803-9738
Everteam AB,556682-2572
Facility Labs AB,556812-4738
Farmo Technologies AB,559163-6237
Fever Energy AB,559397-9650
Flowplayer AB,556997-6789
GH Solutions AB,559116-8751
Gardeco AffÃ¤rssystem AB,556426-0882
Gastrogate AB,556577-6720
Her Company AB,559318-6199
Hvnt Entertainment AB,559013-7047
Indicio Technologies AB,559007-9199
Inly Technology AB,559255-1336
Inventyou AB,559116-6243
Irm Information Architecture AB,559085-2793
It Consulting Network Nordic AB,556821-3903
Itchy AB,559209-3164
Jtc Linked AB,559380-4320
Keyflow Aktiebolag,556757-2655
Knowit Solutions Stockholm AB,556911-6717
Kobler AB,559265-8800
Kvadrat Holding AB,556728-3097
LM Layer & Mesh AB,556703-4672
Learning Pro Point AB,556792-1126
Leasify AB,556957-5375
Lexplore AB,559069-1811
Limeloop AB,556971-4578
Macpatric AB,556843-1299
Mathleaks AB,556899-6994
Meebuz Liners AB,559370-9685
Middlecon AB,556798-8083
Mine Storage International AB,559266-0186
Morpheus Tribe AB,559199-2481
Nadalex AB,559026-0609
Netsecurity Nordic AB,556621-8235
Newcad AB,556403-2042
Newsec Property Leasing AB,559008-4900
Nomentia AB,556616-4983
Nordic Level Access Solutions AB,556512-0408
Nuport Sverige AB,556732-0329
Omniq AB,559030-4456
Orcana AB,556735-9558
Oxyfi AB,556704-8060
Playpark AB,559161-0935
Playreplay AB,559199-3554
Pushappy AB,559063-1718
Qimtek AB,556733-1011
Rearive AB,559244-3500
Ridesum AB,559146-4192
Saven Aktiebolag,556477-9915
Sesamy AB,559241-5227
Sprinto Sweden AB,559014-1114
Struqtur AB,556907-9477
Sunstone Systems Aktiebolag,556504-0408
Sustainlab Sweden AB,559260-7583
Svensk AdressÃ¤ndring Aktiebolag,556476-3562
Symplify Conversion AB,556804-5826
Syncit AB,559230-1443
Synkzone AB,556760-3583
SÃ¤kerhetskontoret i Sverige AB,556959-1125
Talking Design AB,559165-5492
Termino C 11556 AB,556717-2407
Thomson Reuters Holdings AB,556663-7921
Trustnet AB,556937-1882
TÃ½r Cyber Defense AB,559342-6306
Ventla AB,556831-9783
Vitec Bidtheatre AB,556911-1999
Walker Labs AB,559392-5489
Westernacher Consulting AB,559170-8853
Westro AB,559166-8073
Zington Relations AB,559106-2756
Advisor Softit Sk AB,556559-3554
Agronod AB,559270-6245
Aiven Sweden AB,559365-4451
Alstra AB,556561-3741
Asteria AB,556990-0888
Avioniq Awareness Sweden AB,559029-6678
BE My Compensation Management AB,556963-9262
BT Ai Sweden AB,559283-7016
Binovi AB,559051-8238
Bumbee Labs AB,556845-1198
Bumbipower AB,559173-8710
Burdy Solutions AB,559154-9224
Capline Stockholm AB,556657-9842
Codiax Sweden AB,556986-0025
Codon Consulting AB,559210-3666
Compentus AB,556843-4129
Corechange Bi AB,559396-2532
Dashy Studios AB,559393-6346
Delegia AB,556632-2367
Digital Dominance AB,556931-0872
Ditrinity Technologies AB,559281-0989
Doohclick AB,556804-3912
Ecotype AB,559256-3513
Edai Technologies AB,559209-0871
Ellmount Interactive AB,556704-8342
Emvico AB,556976-5661
Engulf AB,559185-4905
Entera Aktiebolag,556699-2292
Fab Support Aktiebolag,556509-2896
Feedbackfrog AB,559136-0499
Flightmate AB,556694-7247
Flybridge Aero Maintenance AB,559089-8879
Flyttella AB,559301-7105
Football Analytics Sweden AB,559072-4067
Fxity AB,559243-4210
Gaddr AB,559051-8121
Global Puls AB,556903-4951
Global Reporting Sweden AB,556533-8646
Hallandia V AB,559167-0046
Hellsten Kommunikation AB,556952-8341
Hemsol Group AB,559196-6675
HumlegÃ¥rden Service AB,556711-4680
Infobip Sweden AB,559053-5281
Insat Consulting AB,556977-9472
Inspera AB,559139-5594
Insyn Scandinavia AB,556620-2528
Jahopp AB,556975-0515
Kanari AB,559006-4761
Kaskelot Consulting AB,556706-7052
Krigslida MaskintjÃ¤nst AB,556909-4930
Leia Health AB,559311-0520
Lexplore Nordic AB,559091-9212
Livearena Sports AB,559163-0750
Loihde Advisory AB,556996-1625
Lootlocker AB,559164-9289
Maia Universe AB,559249-3711
Masterexchange AB,559360-7681
Mayam AB,556764-8430
Mobilexpense Nordics AB,556977-0836
Mockingbird Publishing Software AB,559222-7333
Movesta AB,559203-1917
Mowic AB,556560-6893
Newsmachine AB,556630-5982
Nobu Services AB,556798-2318
Obenetwork AB,556898-6763
Olivier Jullian Consultant AB,559153-8805
Omb Services AB,556703-1082
Orderhero AB,559063-5396
Ordo One AB,559364-3652
Oxys AB,556850-0374
P & m Bodin Automation och Service Aktiebolag,556455-1462
Paragaia Consulting Group AB,559250-1893
Pedago Sweden AB,559383-5555
Pija Media & Management AB,556460-3537
Plisec AB,559161-4275
Polopoly AB,556583-9296
Pow Localisation AB,556964-2837
Princip AB,556952-0835
Qestit MalmÃ¶ AB,556899-4809
Quality It Solutions Stockholm AB,556789-8464
Regent AB,556971-2499
Rehabteamet Incs AB,559042-4437
Replior AB,556634-1029
Reqtest AB,556780-0601
Revolutmedia AB,559324-9898
S5 Consulting AB,559346-4869
Sanwig Solutions Aktiebolag,556638-3021
Sapoto AB,559159-0525
Scilla Studio AB,559275-9145
Sign On AB,556706-2277
Silverhuset E.V. Holding Aktiebolag,556486-3172
Sixfours Business Consulting AB,559008-7358
Skillbreak AB,559108-4305
Speqta Sverige AB,556800-5804
Stefanini Sweden AB,556622-7640
Svenska Driftgruppen AB,556669-7420
Theodora Tech AB,559274-9781
Toolbuilders Sweden AB,559134-4709
Tytec AB,556892-1034
Ventil Digital Kommunikation AB,556532-0354
Vikingcloud (Sweden) AB,559396-6343
Ways Sweden AB,556698-5460
Wedsly AB,559120-7112
Wiseone Aktiebolag,556570-4441
Xlent JÃ¶nkÃ¶ping AB,559211-4531
Xpd Sverige AB,556596-2494
Yns AB,556917-5689
Zinnovate International AB,556939-7879
29K International AB,559095-7949
AB Itsquad,556605-1123
Added Digital Scandinavia AB,556946-3218
Adventrum AB,556420-9632
Aktavara AB,556623-5262
AktiebolagstjÃ¤nst Leif Malmborg AB,556239-0913
Ankra AB,559318-5993
Atmoz AB,559345-4001
Avanza Bank Holding AB,556274-8458
Azeo Sweden AB,559254-5148
Azerion Sweden Sb AB,556782-9261
Bitfront AB,559155-7912
CG Communication AB,559415-0426
Cae Flight Services Sweden AB,556275-9604
Caironite AB,556793-4640
Climate Hero AB,556815-2754
Cloudera Sweden AB,559007-1139
Cloudmore AB,556668-8544
Cma Small Systems Aktiebolag,556237-9247
Code Labs AB,559064-2442
Codezyme AB,559171-0438
Comcura Placeringsservice AB,556800-0003
Comparico AB,556851-2312
Complete Solutions International AB,559367-3790
Confetti Technology AB,556964-6465
Custellence Enterprise AB,559040-0155
Cyber Design Nordics AB,556954-8992
Debugger Partner AB,556643-0566
Dentech AB,559239-4927
Desknet Datateknik Aktiebolag,556489-3492
Deviera AB,559199-0279
Digital Portfolio Control ( Dpc ) AB,556520-1034
Digitala Kassan i Sverige AB,559176-2108
Dispono AB,559112-2030
Dize Analytics AB,556763-5890
Dozer It & Kommunikation Aktiebolag,556574-5378
Driven By Data Sweden AB,559222-1526
Egreement AB,556700-4394
Emq Sweden AB,559280-7779
Esgaia AB,559270-7193
Esynergetics AB,559151-1554
Euvic AB,559114-8936
F-Secure AB,559378-2021
FS System AB,556688-0299
Fastighetsloggen Propify AB,559217-1721
Flex Applications Stockholm AB,556241-9357
Formpipe Intelligo AB,556411-3479
Fortimus AB,559231-5740
Fragbite AB,556721-9489
Fundrella AB,559197-9736
Future Inventions Stockholm AB,556593-7843
Geras Solutions AB,559025-3828
Gignos AB,556550-3835
Goli AB,556871-4512
Grasp Research AB,559260-0992
High Performance Solutions Svenska AB,556747-3631
Hlpy AB,559282-9823
Humandata Inventus AB,556608-4637
IC Sverige AB,559220-6030
IS Tools AB,556648-8374
Idit Software Solutions (Sweden) AB,559242-0425
Idss Information Delivery Systems Sweden AB,556711-5711
Igt Sweden AB,556607-0321
Influeri AB,559333-4740
Infoweaver Consulting AB,556571-8425
Integrera Bluegrass AB,559216-5889
It - Relation Ects AB,556644-4773
Ivalua Sweden AB,559189-1832
Jobcast AB,559205-4901
Kaol AB,556870-3689
Klash AB,556829-7245
Klinike AB,559047-5801
Knowit Insight Group AB,556806-0460
Kps Sweden AB,559239-5676
Kreng AB,559101-5911
Kylg AB,556991-0911
Lanetalk AB,556840-1656
Lanpoint Svenska Aktiebolag,556329-7430
Linserv Consulting AB,556423-5868
M.M.S.H Transport AB,559101-3981
Matspar i Sverige AB,559007-6351
Max21 AB,559286-0786
Maximum Entertainment AB,556778-7691
Meriq AB,556627-3917
Metricio AB,559118-3750
Mostphotos AB,556725-9956
Neoleaf AB,559133-0161
Nerom Ã–-Vik AB,556792-8691
Netkeep AB,559247-3630
Nextml AB,559090-3802
Nordic Financial Components AB,559116-8272
Nordic Level Group AB,556291-7442
NÃ¤ktergal AB,559040-6483
Obiq AB,556614-4340
Oerjan Lundgren Consulting AB,556801-9805
Omnitor AB,556558-4413
Oneki AB,556777-7098
Optema AB,556657-0171
Optiqueue Nordics AB,559286-3251
Owision AB,559171-4711
P Studios AB,556845-5041
Pax2pay AB,559441-3725
Peter Kullgren Informationsutveckling Aktiebolag,556486-4832
Pinpointest AB,556846-4977
Planax AB,556894-9977
Plexigrid AB,559262-0990
Portfoliobox Stockholm AB,556894-4382
Public Cloud Group AB,559273-7547
Q-Channel AB,556544-4584
Qrendo AB,559056-6880
Qruxel AB,556727-3148
Ragnar Bt International AB,559316-1077
Rational Management Technologies Nordic AB,556215-0473
Relesys AB,559223-1624
S.E.O Partner Sverige AB,559020-5133
Sandberg & Timonen AB,556707-0668
Sandskogen Ai Aktiebolag,559145-2494
Sensera AB,556975-5068
Serviceform Sweden AB,559363-5559
Seyc Sweden AB,556478-5532
Sharpfin AB,556927-9309
Silo Ai Sweden AB,559272-9916
Smartinfo Sweden AB,556609-4008
Spacenode AB,559308-9930
Sparta Global Technology Services AB,559330-6367
Steep Analytics AB,559329-9067
Supersports International AB,556938-6971
Svarking AB,556921-7424
Svensk InkÃ¶psservice Aktiebolag,556199-9037
Svenska Infobyte AB,556663-7707
Svenska Rehaboteket AB,556882-3297
Syndata AB,559241-3867
TW Consulting i Solna Aktiebolag,556711-6685
Taxiteknik Nordic AB,559213-9561
Techstack Global AB,559193-6108
Ten10 AB,559261-0322
Tendmill AB,559275-2355
Tentatech AB,559112-8839
Thinkdata AB,559359-1364
Timma Sverige AB,559295-6113
Total Software Solutions i Norden AB,556904-4653
Transiro Holding AB,559048-9620
Trebyggare i VÃ¤sby AB,556873-9022
Truckbeat AB,559257-7547
Twebcast AB,556819-2917
Twps Nixus Aktiebolag,556627-9757
TÃ¶lve AB,559049-8993
Unbox Ai AB,559287-9885
United Enterprise Sweden AB,556880-9171
V2E Nordics AB,556698-1352
Valderas Consulting AB,556618-3199
Variant Stockholm AB,559434-7261
Vina AB,556839-1386
Vinguiden Nordic AB,556568-4759
Virtune Ab (Publ),559175-2067
Visdom Technologies Nordics AB,559222-2748
Vloxq International AB,559265-7133
Wecode AB,556748-3861
Wendros AB,556604-6909
West Media Systems AB,556645-7015
Westerling & Holm Consulting AB,556767-8080
Wetail AB,559124-3588
Win & Lin Technology AB,559151-8302
Wrlds Technologies AB,559146-7518
Xlent Ã–stersund Ã…re AB,559398-3892
Zapote Consulting AB,556856-7316
Zetiq AB,556780-9230
19plus AB,556983-2750
3D Interactive Sthlm AB,556820-2526
4light AB,556973-2836
4real AB,556611-9896
8027 Consulting Group i Stockholm AB,556601-1135
A New Zebra Riot AB,559363-7316
Acer Sweden AB,556531-8606
Acumant AB,559323-3991
Adaptiv Sthlm AB,556775-6407
Adcredo AB,559263-2391
Adocka AB,556684-1721
Adwisit AB,556971-9254
Afonso Digital AB,556762-1106
Ahlberg Data AB,556701-1308
Aid-It Sweden AB,556758-5335
All Out AB,559018-9535
Alterview Consulting AB,556973-4154
Alteryx Sweden AB,559327-2700
Altostruct AB,559244-1561
Amplius Field Service Group AB,559129-7139
Ampstek Sweden AB,559352-6402
